split,method,key,macro_f05,pair_prec,pair_rec,pair_f05,cand_rec,reduction_ratio,total_cand,total_tp,total_fp,total_fn,avg_cand,median_cand,p95_cand,max_cand,unresolved_s1,unresolved_pct,correct_sing,fp_sing,sing_fpr,m0_f05,m1_f05,m1_prec,m1_rec,mm_f05,mm_prec,mm_rec,us_f05,us_prec,us_rec,in_f05,in_prec,in_rec,s2_prec,s2_rec,s3_prec,s3_rec,runtime_sec
Validation (20%),Exact Raw Business Name,raw_name,0.10527350230013076,0.04219582333553379,0.04640373811708979,0.04297522645247135,0.04640373811708979,0.9999996311835125,1679953,70887,1609066,1456727,3.8062669219353595,0.0,18.0,314,282662,64.04268575895235,17784,6865,27.8510284392876,0.721489715607124,0.03264992785427521,0.012441393349430988,0.048212487411883186,0.071018229966284,0.046537296301733685,0.04637507298265307,0.1179200510431226,0.03614672388425045,0.059131214669385646,0.08632014623243313,0.0924012023449047,0.027314991335197752,0.04431195084891326,0.04726907554324404,0.04033023120888771,0.04559521457912304,1.0395431518554688
Validation (20%),Exact Normalized Business Name,norm_name,0.3555397980652435,0.08006716934666293,0.2580344249267158,0.09287895860165418,0.2580344249267158,0.9999989191883912,4923079,394177,4528902,1133437,11.154212499858394,2.0,70.0,502,109335,24.772014092644408,15065,9584,38.881901902714105,0.6111809809728589,0.18368151075607705,0.023436167430436316,0.25944108761329304,0.3499259964995479,0.08805175889512397,0.2580121320776549,0.3972016688487468,0.0674297594111355,0.3050481112816837,0.29310123973187996,0.14752173677963526,0.1875230120456297,0.07993432448995061,0.2529618556896631,0.08018703520376265,0.2627739536956841,1.340221643447876
Validation (20%),Exact Raw Address,raw_addr,0.10144144780734034,0.8299814507468515,0.02226085909136732,0.10052012944708312,0.02226085909136732,0.9999999910050167,40972,34006,6966,1493608,0.09283019722905078,0.0,1.0,5,402053,91.09308622115483,24294,355,1.4402206986084627,0.9855977930139154,0.010012035817675295,0.3843700159489633,0.010112453843571668,0.05151672700817783,0.8457530746687373,0.02245338752558549,0.10282101426580215,0.817751203603044,0.02298037906387306,0.09937389445048253,0.85068349106204,0.021181718658207508,1.0,1.3552302400654847e-06,0.8299773010177931,0.04305891112428013,0.8470852375030518
Validation (20%),Exact Normalized Address,norm_addr,0.20324738162130698,0.8195778477669751,0.08227732922060153,0.293520631542959,0.08227732922060153,0.9999999663320402,153357,125688,27669,1401926,0.3474607184529811,0.0,2.0,20,335065,75.91562538941692,23876,773,3.136029859223498,0.968639701407765,0.06827577285565146,0.5186901451961693,0.07045149378986237,0.16341498348264671,0.8348357041395421,0.0824647455548743,0.2117386892980534,0.8055274244511059,0.08678579105115977,0.19052147662159585,0.8449819640012451,0.07551551073240897,0.8159528326252884,0.12416077367383944,0.8294868049469276,0.04314375003165631,0.8346741199493408
Validation (20%),Exact Norm Name + Norm Address,norm_name_and_addr,0.0873937540834966,1.0,0.015298367257697298,0.07208095273932295,0.015298367257697298,0.9999999948693556,23370,23370,0,1504244,0.05294937296795169,0.0,0.0,4,419771,95.10745074937977,24649,0,0.0,1.0,0.01472809667673716,1.0,0.01472809667673716,0.03454593282257304,1.0,0.015307404929703906,0.09579989446134607,1.0,0.01933398143632279,0.07479548913593949,1.0,0.00924572855522809,1.0,0.031614811040247624,1.0,5.31825986537205e-05,0.896569013595581
Validation (20%),Country + Exact Raw Business Name,country_raw_name,0.10542014406094363,0.04240396193830617,0.04640373811708979,0.043147787762090224,0.04640373811708979,0.9999996329938374,1671707,70887,1600820,1456727,3.7875839724491067,0.0,18.0,312,282796,64.07304611829213,17792,6857,27.81857276157248,0.7218142723842752,0.03281928737415052,0.012508300765303345,0.048212487411883186,0.07115233154507948,0.04676416745458569,0.04637507298265307,0.11806666422854166,0.036255977436265206,0.059131214669385646,0.0864668308191287,0.09434826106862462,0.027314991335197752,0.04445676557560926,0.04726907554324404,0.040588538314394344,0.04559521457912304,0.9138007164001465
Validation (20%),Country + Exact Normalized Business Name,country_norm_name,0.3558612478819383,0.0803128185474349,0.2580344249267158,0.09314334259401999,0.2580344249267158,0.9999989224942211,4908021,394177,4513844,1133437,11.120095612474936,2.0,70.0,501,109402,24.7871942723143,15078,9571,38.829161426427035,0.6117083857357296,0.1839847051138941,0.023525248835722764,0.25944108761329304,0.3502356323473107,0.08831706498734178,0.2580121320776549,0.39746913198069506,0.06755805549521302,0.3050481112816837,0.29350359927972175,0.14889879289510272,0.1875230120456297,0.08014302913308338,0.2529618556896631,0.08046615238165403,0.2627739536956841,1.3486754894256592
Validation (20%),Country + Exact Raw Address,country_raw_addr,0.10144144780734021,0.8299814507468515,0.02226085909136732,0.10052012944708312,0.02226085909136732,0.9999999910050167,40972,34006,6966,1493608,0.09283019722905078,0.0,1.0,5,402053,91.09308622115483,24294,355,1.4402206986084627,0.9855977930139154,0.010012035817675295,0.3843700159489633,0.010112453843571668,0.05151672700817783,0.8457530746687373,0.02245338752558549,0.10282101426580215,0.817751203603044,0.02298037906387306,0.09937389445048257,0.85068349106204,0.021181718658207508,1.0,1.3552302400654847e-06,0.8299773010177931,0.04305891112428013,0.8579251766204834
Validation (20%),Country + Exact Normalized Address,country_norm_addr,0.20324738162130696,0.8195778477669751,0.08227732922060153,0.293520631542959,0.08227732922060153,0.9999999663320402,153357,125688,27669,1401926,0.3474607184529811,0.0,2.0,20,335065,75.91562538941692,23876,773,3.136029859223498,0.968639701407765,0.06827577285565145,0.5186901451961693,0.07045149378986237,0.16341498348264666,0.8348357041395421,0.0824647455548743,0.211738689298054,0.8055274244511059,0.08678579105115977,0.1905214766215962,0.8449819640012451,0.07551551073240897,0.8159528326252884,0.12416077367383944,0.8294868049469276,0.04314375003165631,0.8402402400970459
Validation (20%),Country + Norm Name + Norm Address,country_norm_name_and_addr,0.0873937540834966,1.0,0.015298367257697298,0.07208095273932295,0.015298367257697298,0.9999999948693556,23370,23370,0,1504244,0.05294937296795169,0.0,0.0,4,419771,95.10745074937977,24649,0,0.0,1.0,0.01472809667673716,1.0,0.01472809667673716,0.03454593282257304,1.0,0.015307404929703906,0.09579989446134607,1.0,0.01933398143632279,0.07479548913593949,1.0,0.00924572855522809,1.0,0.031614811040247624,1.0,5.31825986537205e-05,0.9511792659759521
